,Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
630,46,48,6,6,41,43,1,Train/1/00001_00002_00000.png
631,45,47,5,5,40,42,1,Train/1/00001_00002_00001.png
632,46,48,6,6,41,43,1,Train/1/00001_00002_00002.png
633,46,47,6,5,41,42,1,Train/1/00001_00002_00003.png
634,46,47,6,5,41,42,1,Train/1/00001_00002_00004.png
635,46,48,6,6,41,43,1,Train/1/00001_00002_00005.png
636,47,49,5,5,41,43,1,Train/1/00001_00002_00006.png
637,50,50,6,5,45,45,1,Train/1/00001_00002_00007.png
638,50,51,6,6,45,46,1,Train/1/00001_00002_00008.png
639,49,50,5,5,44,45,1,Train/1/00001_00002_00009.png
640,50,51,6,5,45,45,1,Train/1/00001_00002_00010.png
641,52,53,6,5,47,47,1,Train/1/00001_00002_00011.png
642,52,55,5,6,47,50,1,Train/1/00001_00002_00012.png
643,52,55,5,6,47,50,1,Train/1/00001_00002_00013.png
644,54,56,6,6,49,51,1,Train/1/00001_00002_00014.png
645,52,55,6,5,47,50,1,Train/1/00001_00002_00015.png
646,53,55,6,5,47,49,1,Train/1/00001_00002_00016.png
647,54,56,6,6,48,50,1,Train/1/00001_00002_00017.png
648,56,57,6,6,50,52,1,Train/1/00001_00002_00018.png
649,57,56,6,5,52,51,1,Train/1/00001_00002_00019.png
650,57,57,6,6,52,52,1,Train/1/00001_00002_00020.png
651,58,58,6,6,53,53,1,Train/1/00001_00002_00021.png
652,60,59,5,5,54,54,1,Train/1/00001_00002_00022.png
653,62,63,5,6,57,58,1,Train/1/00001_00002_00023.png
654,63,64,5,6,58,59,1,Train/1/00001_00002_00024.png
655,63,64,5,6,58,59,1,Train/1/00001_00002_00025.png
656,64,64,5,6,59,59,1,Train/1/00001_00002_00026.png
657,70,68,6,7,64,62,1,Train/1/00001_00002_00027.png
658,72,69,6,6,66,63,1,Train/1/00001_00002_00028.png
659,74,70,7,6,68,64,1,Train/1/00001_00002_00029.png
660,25,26,5,6,20,21,1,Train/1/00001_00003_00000.png
661,27,27,6,6,21,22,1,Train/1/00001_00003_00001.png
662,27,27,6,5,21,21,1,Train/1/00001_00003_00002.png
663,28,28,6,5,22,22,1,Train/1/00001_00003_00003.png
664,27,30,5,6,22,24,1,Train/1/00001_00003_00004.png
665,29,31,5,6,23,25,1,Train/1/00001_00003_00005.png
666,29,32,5,6,24,26,1,Train/1/00001_00003_00006.png
667,33,33,6,6,28,27,1,Train/1/00001_00003_00007.png
668,34,33,6,6,29,28,1,Train/1/00001_00003_00008.png
669,35,35,6,6,29,29,1,Train/1/00001_00003_00009.png
670,36,37,5,6,30,31,1,Train/1/00001_00003_00010.png
671,37,38,5,6,31,32,1,Train/1/00001_00003_00011.png
672,37,37,5,5,32,32,1,Train/1/00001_00003_00012.png
673,37,39,5,6,32,33,1,Train/1/00001_00003_00013.png
674,39,39,6,6,34,34,1,Train/1/00001_00003_00014.png
675,41,41,6,6,36,36,1,Train/1/00001_00003_00015.png
676,42,43,5,6,37,38,1,Train/1/00001_00003_00016.png
677,46,45,5,5,40,40,1,Train/1/00001_00003_00017.png
678,50,49,6,5,45,44,1,Train/1/00001_00003_00018.png
679,54,53,6,5,49,48,1,Train/1/00001_00003_00019.png
680,54,56,5,6,48,50,1,Train/1/00001_00003_00020.png
681,58,59,6,6,52,53,1,Train/1/00001_00003_00021.png
682,63,64,6,6,58,59,1,Train/1/00001_00003_00022.png
683,70,72,6,7,64,66,1,Train/1/00001_00003_00023.png
684,76,79,6,7,70,72,1,Train/1/00001_00003_00024.png
685,86,86,8,7,79,79,1,Train/1/00001_00003_00025.png
686,98,98,9,9,89,90,1,Train/1/00001_00003_00026.png
687,114,117,10,10,104,106,1,Train/1/00001_00003_00027.png
688,134,141,11,13,122,128,1,Train/1/00001_00003_00028.png
689,164,170,15,14,150,156,1,Train/1/00001_00003_00029.png
690,40,40,6,5,35,35,1,Train/1/00001_00004_00000.png
691,41,42,5,6,36,37,1,Train/1/00001_00004_00001.png
692,43,42,6,5,38,37,1,Train/1/00001_00004_00002.png
693,44,46,5,5,39,41,1,Train/1/00001_00004_00003.png
694,49,47,6,5,44,42,1,Train/1/00001_00004_00004.png
695,52,51,6,5,47,46,1,Train/1/00001_00004_00005.png
696,53,52,6,5,48,47,1,Train/1/00001_00004_00006.png
697,60,61,5,5,55,56,1,Train/1/00001_00004_00007.png
698,62,65,5,6,57,60,1,Train/1/00001_00004_00008.png
699,73,75,6,7,67,69,1,Train/1/00001_00004_00009.png
700,83,80,8,7,76,73,1,Train/1/00001_00004_00010.png
701,92,88,9,7,84,81,1,Train/1/00001_00004_00011.png
702,28,29,5,5,23,24,1,Train/1/00001_00004_00012.png
703,31,32,6,6,26,27,1,Train/1/00001_00004_00013.png
704,31,32,5,6,26,27,1,Train/1/00001_00004_00014.png
705,33,32,6,5,28,27,1,Train/1/00001_00004_00015.png
706,32,32,6,5,27,27,1,Train/1/00001_00004_00016.png
707,34,35,6,6,29,30,1,Train/1/00001_00004_00017.png
708,34,36,5,6,29,31,1,Train/1/00001_00004_00018.png
709,36,37,6,6,31,32,1,Train/1/00001_00004_00019.png
710,37,38,5,6,32,33,1,Train/1/00001_00004_00020.png
711,39,39,5,5,34,34,1,Train/1/00001_00004_00021.png
712,41,41,6,6,36,36,1,Train/1/00001_00004_00022.png
713,44,43,6,5,39,38,1,Train/1/00001_00004_00023.png
714,47,46,6,5,42,41,1,Train/1/00001_00004_00024.png
715,48,48,6,6,43,43,1,Train/1/00001_00004_00025.png
716,50,51,6,6,45,46,1,Train/1/00001_00004_00026.png
717,55,55,6,6,50,50,1,Train/1/00001_00004_00027.png
718,59,59,6,6,54,54,1,Train/1/00001_00004_00028.png
719,63,64,5,6,58,59,1,Train/1/00001_00004_00029.png
720,30,28,6,5,25,23,1,Train/1/00001_00005_00000.png
721,29,30,5,5,24,25,1,Train/1/00001_00005_00001.png
722,29,31,5,6,24,26,1,Train/1/00001_00005_00002.png
723,30,30,5,5,25,25,1,Train/1/00001_00005_00003.png
724,32,31,6,5,26,25,1,Train/1/00001_00005_00004.png
725,33,32,6,5,28,27,1,Train/1/00001_00005_00005.png
726,32,34,5,6,27,29,1,Train/1/00001_00005_00006.png
727,34,32,6,6,29,27,1,Train/1/00001_00005_00007.png
728,33,35,5,6,28,29,1,Train/1/00001_00005_00008.png
729,34,35,5,6,29,30,1,Train/1/00001_00005_00009.png
730,36,36,6,6,31,31,1,Train/1/00001_00005_00010.png
731,38,38,6,6,32,32,1,Train/1/00001_00005_00011.png
732,39,39,5,6,33,34,1,Train/1/00001_00005_00012.png
733,39,40,5,6,34,35,1,Train/1/00001_00005_00013.png
734,42,40,5,6,37,35,1,Train/1/00001_00005_00014.png
735,43,43,6,6,38,38,1,Train/1/00001_00005_00015.png
736,46,44,6,5,41,39,1,Train/1/00001_00005_00016.png
737,47,46,5,5,41,40,1,Train/1/00001_00005_00017.png
738,49,47,5,5,43,42,1,Train/1/00001_00005_00018.png
739,51,50,6,6,46,45,1,Train/1/00001_00005_00019.png
740,50,49,5,5,45,44,1,Train/1/00001_00005_00020.png
741,53,52,5,5,48,47,1,Train/1/00001_00005_00021.png
742,55,53,6,5,50,48,1,Train/1/00001_00005_00022.png
743,57,55,6,5,52,50,1,Train/1/00001_00005_00023.png
744,58,57,6,5,53,52,1,Train/1/00001_00005_00024.png
745,59,57,5,5,53,52,1,Train/1/00001_00005_00025.png
746,61,59,6,6,55,54,1,Train/1/00001_00005_00026.png
747,62,62,5,6,57,57,1,Train/1/00001_00005_00027.png
748,63,63,5,6,57,57,1,Train/1/00001_00005_00028.png
749,64,63,5,6,58,58,1,Train/1/00001_00005_00029.png
750,44,50,6,6,39,45,1,Train/1/00001_00006_00000.png
751,43,49,5,5,38,44,1,Train/1/00001_00006_00001.png
752,44,50,6,5,39,45,1,Train/1/00001_00006_00002.png
753,43,50,5,5,38,45,1,Train/1/00001_00006_00003.png
754,43,51,5,5,38,45,1,Train/1/00001_00006_00004.png
755,44,51,5,5,39,46,1,Train/1/00001_00006_00005.png
756,46,53,6,5,40,47,1,Train/1/00001_00006_00006.png
757,46,54,5,6,40,49,1,Train/1/00001_00006_00007.png
758,46,55,5,6,41,50,1,Train/1/00001_00006_00008.png
759,47,56,5,6,42,51,1,Train/1/00001_00006_00009.png
760,50,58,6,6,44,53,1,Train/1/00001_00006_00010.png
761,50,59,5,5,44,53,1,Train/1/00001_00006_00011.png
762,51,59,5,5,45,54,1,Train/1/00001_00006_00012.png
763,52,62,5,6,47,57,1,Train/1/00001_00006_00013.png
764,55,63,6,5,49,58,1,Train/1/00001_00006_00014.png
765,55,67,5,6,50,61,1,Train/1/00001_00006_00015.png
766,57,70,5,7,52,64,1,Train/1/00001_00006_00016.png
767,61,72,6,6,55,65,1,Train/1/00001_00006_00017.png
768,62,76,5,7,57,69,1,Train/1/00001_00006_00018.png
769,64,77,5,7,59,71,1,Train/1/00001_00006_00019.png
770,69,81,6,7,63,74,1,Train/1/00001_00006_00020.png
771,73,84,7,7,67,77,1,Train/1/00001_00006_00021.png
772,76,89,6,8,70,82,1,Train/1/00001_00006_00022.png
773,83,95,7,8,76,87,1,Train/1/00001_00006_00023.png
774,88,101,7,9,81,93,1,Train/1/00001_00006_00024.png
775,96,108,8,9,88,99,1,Train/1/00001_00006_00025.png
776,106,117,10,10,97,107,1,Train/1/00001_00006_00026.png
777,109,123,9,11,100,112,1,Train/1/00001_00006_00027.png
778,122,135,10,12,112,123,1,Train/1/00001_00006_00028.png
779,140,148,13,13,128,136,1,Train/1/00001_00006_00029.png
780,50,49,5,5,45,44,1,Train/1/00001_00007_00000.png
781,51,51,5,6,46,46,1,Train/1/00001_00007_00001.png
782,52,52,5,5,47,46,1,Train/1/00001_00007_00002.png
783,53,53,5,5,48,47,1,Train/1/00001_00007_00003.png
784,54,54,5,5,49,49,1,Train/1/00001_00007_00004.png
785,55,56,5,6,50,50,1,Train/1/00001_00007_00005.png
786,56,56,5,6,51,51,1,Train/1/00001_00007_00006.png
787,57,57,5,6,52,52,1,Train/1/00001_00007_00007.png
788,58,58,5,6,53,53,1,Train/1/00001_00007_00008.png
789,59,59,5,6,54,54,1,Train/1/00001_00007_00009.png
790,60,59,5,5,55,54,1,Train/1/00001_00007_00010.png
791,61,62,5,6,56,56,1,Train/1/00001_00007_00011.png
792,62,63,5,6,57,57,1,Train/1/00001_00007_00012.png
793,64,64,5,6,59,59,1,Train/1/00001_00007_00013.png
794,69,64,7,5,62,59,1,Train/1/00001_00007_00014.png
795,69,67,6,6,63,61,1,Train/1/00001_00007_00015.png
796,71,69,6,6,65,62,1,Train/1/00001_00007_00016.png
797,74,71,7,7,68,65,1,Train/1/00001_00007_00017.png
798,75,72,6,6,69,66,1,Train/1/00001_00007_00018.png
799,80,75,8,7,73,69,1,Train/1/00001_00007_00019.png
800,82,77,8,7,75,71,1,Train/1/00001_00007_00020.png
801,84,81,7,8,76,74,1,Train/1/00001_00007_00021.png
802,86,83,7,7,79,76,1,Train/1/00001_00007_00022.png
803,88,84,8,7,81,77,1,Train/1/00001_00007_00023.png
804,88,86,7,7,81,79,1,Train/1/00001_00007_00024.png
805,95,92,9,9,86,84,1,Train/1/00001_00007_00025.png
806,97,96,8,9,89,88,1,Train/1/00001_00007_00026.png
807,100,98,8,8,92,90,1,Train/1/00001_00007_00027.png
808,107,104,10,9,98,95,1,Train/1/00001_00007_00028.png
809,112,110,10,10,103,101,1,Train/1/00001_00007_00029.png
810,44,47,5,5,39,42,1,Train/1/00001_00008_00000.png
811,44,46,6,5,39,41,1,Train/1/00001_00008_00001.png
812,43,46,5,5,38,41,1,Train/1/00001_00008_00002.png
813,43,47,5,5,38,42,1,Train/1/00001_00008_00003.png
814,43,47,5,5,38,42,1,Train/1/00001_00008_00004.png
815,43,47,5,5,38,42,1,Train/1/00001_00008_00005.png
816,46,50,6,6,41,45,1,Train/1/00001_00008_00006.png
817,46,49,6,5,41,44,1,Train/1/00001_00008_00007.png
818,45,49,5,6,40,44,1,Train/1/00001_00008_00008.png
819,46,51,5,5,41,46,1,Train/1/00001_00008_00009.png
820,47,51,6,5,42,46,1,Train/1/00001_00008_00010.png
821,48,51,6,5,43,46,1,Train/1/00001_00008_00011.png
822,47,50,6,5,42,45,1,Train/1/00001_00008_00012.png
823,49,53,5,6,44,48,1,Train/1/00001_00008_00013.png
824,48,52,5,5,43,47,1,Train/1/00001_00008_00014.png
825,48,55,5,6,43,50,1,Train/1/00001_00008_00015.png
826,51,54,5,5,46,49,1,Train/1/00001_00008_00016.png
827,51,56,5,5,46,51,1,Train/1/00001_00008_00017.png
828,51,56,5,5,46,51,1,Train/1/00001_00008_00018.png
829,54,58,6,5,49,53,1,Train/1/00001_00008_00019.png
830,53,59,5,5,48,54,1,Train/1/00001_00008_00020.png
831,53,59,5,5,48,54,1,Train/1/00001_00008_00021.png
832,56,61,6,5,51,56,1,Train/1/00001_00008_00022.png
833,57,62,6,5,52,57,1,Train/1/00001_00008_00023.png
834,57,62,5,5,52,57,1,Train/1/00001_00008_00024.png
835,60,64,6,5,55,59,1,Train/1/00001_00008_00025.png
836,60,65,6,6,55,60,1,Train/1/00001_00008_00026.png
837,62,70,6,7,57,64,1,Train/1/00001_00008_00027.png
838,64,72,6,7,59,66,1,Train/1/00001_00008_00028.png
839,68,74,7,6,62,68,1,Train/1/00001_00008_00029.png
840,28,30,5,6,23,25,1,Train/1/00001_00009_00000.png
841,28,29,5,5,23,24,1,Train/1/00001_00009_00001.png
842,30,30,6,5,25,24,1,Train/1/00001_00009_00002.png
843,30,31,5,6,25,26,1,Train/1/00001_00009_00003.png
844,31,31,5,5,25,25,1,Train/1/00001_00009_00004.png
845,33,33,6,6,27,28,1,Train/1/00001_00009_00005.png
846,33,34,6,6,28,29,1,Train/1/00001_00009_00006.png
847,34,33,6,5,28,27,1,Train/1/00001_00009_00007.png
848,33,33,5,5,28,28,1,Train/1/00001_00009_00008.png
849,34,34,5,6,29,29,1,Train/1/00001_00009_00009.png
850,35,34,5,5,30,29,1,Train/1/00001_00009_00010.png
851,36,36,5,6,30,30,1,Train/1/00001_00009_00011.png
852,38,37,6,6,33,32,1,Train/1/00001_00009_00012.png
853,38,37,5,5,33,32,1,Train/1/00001_00009_00013.png
854,39,39,6,6,34,34,1,Train/1/00001_00009_00014.png
855,40,40,6,6,35,35,1,Train/1/00001_00009_00015.png
856,41,40,6,5,36,35,1,Train/1/00001_00009_00016.png
857,42,42,6,6,37,37,1,Train/1/00001_00009_00017.png
858,43,44,5,6,38,39,1,Train/1/00001_00009_00018.png
859,45,44,5,5,40,39,1,Train/1/00001_00009_00019.png
860,46,45,5,5,41,40,1,Train/1/00001_00009_00020.png
861,47,47,5,5,42,41,1,Train/1/00001_00009_00021.png
862,51,50,5,5,46,45,1,Train/1/00001_00009_00022.png
863,55,53,6,5,50,48,1,Train/1/00001_00009_00023.png
864,57,55,6,5,52,50,1,Train/1/00001_00009_00024.png
865,57,58,5,6,52,53,1,Train/1/00001_00009_00025.png
866,59,60,5,5,54,55,1,Train/1/00001_00009_00026.png
867,63,64,5,6,58,59,1,Train/1/00001_00009_00027.png
868,69,68,7,6,63,62,1,Train/1/00001_00009_00028.png
869,73,71,7,6,67,65,1,Train/1/00001_00009_00029.png
870,29,28,6,6,24,23,1,Train/1/00001_00010_00000.png
871,31,29,6,6,25,24,1,Train/1/00001_00010_00001.png
872,31,30,6,5,26,24,1,Train/1/00001_00010_00002.png
873,31,31,6,6,26,26,1,Train/1/00001_00010_00003.png
874,30,29,6,5,25,24,1,Train/1/00001_00010_00004.png
875,31,31,6,6,26,26,1,Train/1/00001_00010_00005.png
876,30,32,5,6,25,26,1,Train/1/00001_00010_00006.png
877,32,32,6,6,27,27,1,Train/1/00001_00010_00007.png
878,32,34,5,6,27,28,1,Train/1/00001_00010_00008.png
879,34,33,6,5,29,28,1,Train/1/00001_00010_00009.png
880,36,34,6,6,30,29,1,Train/1/00001_00010_00010.png
881,36,35,6,5,31,29,1,Train/1/00001_00010_00011.png
882,37,36,6,5,32,30,1,Train/1/00001_00010_00012.png
883,37,38,5,6,32,33,1,Train/1/00001_00010_00013.png
884,37,37,5,5,32,32,1,Train/1/00001_00010_00014.png
885,39,39,6,5,34,33,1,Train/1/00001_00010_00015.png
886,41,41,6,6,36,36,1,Train/1/00001_00010_00016.png
887,41,42,5,5,36,36,1,Train/1/00001_00010_00017.png
888,44,44,6,6,39,39,1,Train/1/00001_00010_00018.png
889,45,45,6,5,40,39,1,Train/1/00001_00010_00019.png
890,47,47,6,5,42,42,1,Train/1/00001_00010_00020.png
891,48,49,5,6,43,44,1,Train/1/00001_00010_00021.png
892,51,51,6,6,46,46,1,Train/1/00001_00010_00022.png
893,54,53,6,5,49,48,1,Train/1/00001_00010_00023.png
894,57,56,6,5,52,51,1,Train/1/00001_00010_00024.png
895,60,59,6,5,55,54,1,Train/1/00001_00010_00025.png
896,64,64,5,5,59,59,1,Train/1/00001_00010_00026.png
897,71,71,7,7,65,65,1,Train/1/00001_00010_00027.png
898,76,76,7,7,70,70,1,Train/1/00001_00010_00028.png
899,84,86,7,8,77,79,1,Train/1/00001_00010_00029.png
900,27,28,5,5,22,23,1,Train/1/00001_00011_00000.png
901,29,29,6,5,24,24,1,Train/1/00001_00011_00001.png
902,29,31,5,6,24,26,1,Train/1/00001_00011_00002.png
903,30,33,5,6,25,28,1,Train/1/00001_00011_00003.png
904,31,33,6,5,26,27,1,Train/1/00001_00011_00004.png
905,29,31,5,5,24,26,1,Train/1/00001_00011_00005.png
906,30,32,5,5,25,27,1,Train/1/00001_00011_00006.png
907,31,33,5,5,26,28,1,Train/1/00001_00011_00007.png
908,33,35,5,5,28,30,1,Train/1/00001_00011_00008.png
909,35,36,5,5,30,31,1,Train/1/00001_00011_00009.png
910,36,37,6,6,31,32,1,Train/1/00001_00011_00010.png
911,37,36,6,5,32,31,1,Train/1/00001_00011_00011.png
912,38,39,6,6,33,33,1,Train/1/00001_00011_00012.png
913,40,40,6,6,34,34,1,Train/1/00001_00011_00013.png
914,40,40,5,5,35,35,1,Train/1/00001_00011_00014.png
915,41,42,5,6,36,37,1,Train/1/00001_00011_00015.png
916,42,42,5,5,37,37,1,Train/1/00001_00011_00016.png
917,45,43,6,6,40,38,1,Train/1/00001_00011_00017.png
918,47,45,6,6,42,40,1,Train/1/00001_00011_00018.png
919,48,46,6,5,43,40,1,Train/1/00001_00011_00019.png
920,50,48,5,5,45,43,1,Train/1/00001_00011_00020.png
921,54,52,6,6,49,47,1,Train/1/00001_00011_00021.png
922,57,55,6,6,51,50,1,Train/1/00001_00011_00022.png
923,59,58,6,6,54,53,1,Train/1/00001_00011_00023.png
924,64,63,5,5,58,57,1,Train/1/00001_00011_00024.png
925,73,71,7,7,66,65,1,Train/1/00001_00011_00025.png
926,79,77,7,7,72,71,1,Train/1/00001_00011_00026.png
927,91,88,8,7,83,81,1,Train/1/00001_00011_00027.png
928,104,107,9,10,95,97,1,Train/1/00001_00011_00028.png
929,121,124,11,10,111,113,1,Train/1/00001_00011_00029.png
930,28,30,5,6,23,25,1,Train/1/00001_00012_00000.png
931,28,29,5,5,23,24,1,Train/1/00001_00012_00001.png
932,28,29,5,5,23,24,1,Train/1/00001_00012_00002.png
933,30,31,6,5,24,25,1,Train/1/00001_00012_00003.png
934,30,32,6,6,25,27,1,Train/1/00001_00012_00004.png
935,30,32,6,6,25,27,1,Train/1/00001_00012_00005.png
936,30,32,5,6,24,27,1,Train/1/00001_00012_00006.png
937,33,34,6,5,28,29,1,Train/1/00001_00012_00007.png
938,33,34,6,5,28,29,1,Train/1/00001_00012_00008.png
939,34,36,6,6,29,31,1,Train/1/00001_00012_00009.png
940,35,36,6,5,30,31,1,Train/1/00001_00012_00010.png
941,37,37,6,5,32,32,1,Train/1/00001_00012_00011.png
942,37,38,5,5,32,33,1,Train/1/00001_00012_00012.png
943,38,40,5,6,32,34,1,Train/1/00001_00012_00013.png
944,39,41,5,6,33,35,1,Train/1/00001_00012_00014.png
945,41,42,5,6,35,37,1,Train/1/00001_00012_00015.png
946,43,43,6,5,38,38,1,Train/1/00001_00012_00016.png
947,44,45,5,5,39,40,1,Train/1/00001_00012_00017.png
948,45,48,5,6,40,42,1,Train/1/00001_00012_00018.png
949,49,48,6,5,43,43,1,Train/1/00001_00012_00019.png
950,52,51,5,5,46,46,1,Train/1/00001_00012_00020.png
951,54,53,5,5,49,48,1,Train/1/00001_00012_00021.png
952,57,56,5,5,51,50,1,Train/1/00001_00012_00022.png
953,60,60,6,6,55,55,1,Train/1/00001_00012_00023.png
954,64,63,6,5,59,58,1,Train/1/00001_00012_00024.png
955,68,69,6,7,62,63,1,Train/1/00001_00012_00025.png
956,74,75,6,7,68,69,1,Train/1/00001_00012_00026.png
957,84,83,8,7,77,76,1,Train/1/00001_00012_00027.png
958,97,97,8,9,88,89,1,Train/1/00001_00012_00028.png
959,108,109,9,10,99,100,1,Train/1/00001_00012_00029.png
960,42,42,5,5,37,37,1,Train/1/00001_00013_00000.png
961,43,43,5,5,38,38,1,Train/1/00001_00013_00001.png
962,44,43,6,5,39,38,1,Train/1/00001_00013_00002.png
963,45,44,6,5,39,38,1,Train/1/00001_00013_00003.png
964,45,46,5,6,40,41,1,Train/1/00001_00013_00004.png
965,45,45,5,5,40,40,1,Train/1/00001_00013_00005.png
966,46,45,6,5,41,40,1,Train/1/00001_00013_00006.png
967,47,46,6,5,42,41,1,Train/1/00001_00013_00007.png
968,47,48,5,6,41,42,1,Train/1/00001_00013_00008.png
969,47,49,5,6,42,43,1,Train/1/00001_00013_00009.png
970,48,49,5,6,43,44,1,Train/1/00001_00013_00010.png
971,50,51,6,6,44,45,1,Train/1/00001_00013_00011.png
972,50,52,6,6,45,46,1,Train/1/00001_00013_00012.png
973,50,52,6,6,45,47,1,Train/1/00001_00013_00013.png
974,51,54,6,6,45,48,1,Train/1/00001_00013_00014.png
975,52,54,5,5,47,49,1,Train/1/00001_00013_00015.png
976,53,56,5,5,48,50,1,Train/1/00001_00013_00016.png
977,55,58,5,6,50,53,1,Train/1/00001_00013_00017.png
978,56,60,5,6,51,54,1,Train/1/00001_00013_00018.png
979,58,60,5,5,52,54,1,Train/1/00001_00013_00019.png
980,58,61,5,5,53,56,1,Train/1/00001_00013_00020.png
981,60,63,5,5,55,58,1,Train/1/00001_00013_00021.png
982,62,66,6,6,57,60,1,Train/1/00001_00013_00022.png
983,64,69,6,7,59,63,1,Train/1/00001_00013_00023.png
984,69,71,6,7,62,65,1,Train/1/00001_00013_00024.png
985,72,74,6,6,66,68,1,Train/1/00001_00013_00025.png
986,75,80,6,8,69,73,1,Train/1/00001_00013_00026.png
987,81,82,8,7,74,75,1,Train/1/00001_00013_00027.png
988,84,86,7,7,77,79,1,Train/1/00001_00013_00028.png
989,92,93,9,8,84,85,1,Train/1/00001_00013_00029.png
990,30,28,5,5,25,23,1,Train/1/00001_00014_00000.png
991,30,28,5,5,24,23,1,Train/1/00001_00014_00001.png
992,30,31,5,6,24,25,1,Train/1/00001_00014_00002.png
993,32,31,6,5,26,25,1,Train/1/00001_00014_00003.png
994,32,31,6,5,27,26,1,Train/1/00001_00014_00004.png
995,31,32,5,6,26,27,1,Train/1/00001_00014_00005.png
996,33,32,6,5,27,26,1,Train/1/00001_00014_00006.png
997,33,32,6,5,28,27,1,Train/1/00001_00014_00007.png
998,32,33,5,6,27,28,1,Train/1/00001_00014_00008.png
999,34,33,6,5,29,28,1,Train/1/00001_00014_00009.png
1000,34,34,5,5,29,29,1,Train/1/00001_00014_00010.png
1001,36,36,5,5,30,30,1,Train/1/00001_00014_00011.png
1002,38,38,6,6,32,32,1,Train/1/00001_00014_00012.png
1003,38,39,5,6,33,34,1,Train/1/00001_00014_00013.png
